userId,id,title,body,photo,date,like,comment
3,1,to make a blinded choice to reject or provident to task,because he receives and accepts the accepted consequences unencumbered and when he finds the discomfort,https://i.pinimg.com/736x/25/06/c9/2506c909c706c6fcbaaf686aafc5032e.jpg,5 mins ago,100,70
2,2,who is to be,"it is the time of life to pursue the things that are to be blamed for the pain of a blessed one, nor avoid the pleasures of flattery.",https://i.pinimg.com/736x/f4/7e/ae/f47eaecc3693dc053bc813d573a94bab.jpg,23 mins ago,480,112
1,3,abuse her as an exercise in who she or she is,"and the just, but blinded by the pleasure of every right to choose, or for the pleasure of the pains or the accusers, who can bear the annoyances of his hatred and labor and desire",https://i.pinimg.com/736x/af/17/cb/af17cb951001f60ba69c8196d97a9442.jpg,10 hours ago,10,30
3,4,he is blinded,"to obtain any pleasure by rejecting one's love and often taking care of things is a fault
nobody is bound by this advantage, they do not know the thing and pain itself is right
nobody wants that pleasure of things",https://i.pinimg.com/736x/bc/1b/b2/bc1bb27e5935305a79863765234db68b.jpg,23 hours ago,10,30
4,5,know how to hate,to be rejected is to seek pardon but to be rejected or to shun,https://i.pinimg.com/736x/7d/06/1e/7d061e09b9eb01ecbfec1dfed8937b2e.jpg,2 days ago,560,200
2,6,I will open them for my great sorrow,"so that no one will reject the body of these women who provide us with a softness to follow, and no one will find fault with those accusing us of whatever pains he desires, and the pain of annoyance",https://i.pinimg.com/736x/d7/54/d4/d754d493941d55e3653bbb5fe07aaf70.jpg,2 days ago,130,31
1,7,great but easy,"the pain may please some people in the life where it is important, for who who, by whom no one, or whom no one will often drive back, will receive them as because they want to follow them, but which they are",https://i.pinimg.com/736x/36/68/ed/3668ed11e899d2e88837b3f89360b6ca.jpg,2 weeks ago,10,30
4,8,pain is the actual pain,I will open the pain to those who are worthy of being easily accepted by some minds who are able to be able to receive great things when there has never been greater,https://i.pinimg.com/736x/41/d2/3f/41d23fb2a16bab9ee08c648842255f47.jpg,3 weeks ago,780,412
1,9,know the right time and the pain of all the accusers,,https://i.pinimg.com/736x/6e/82/ab/6e82ab4216649b26497a5a4465534655.jpg,2 months ago,10,3
2,10,choice that's annoying for him,"in which manner and unencumbered with the duties or great sorrows which must be repudiated, unless there be truly any pardon which but we accuse the error of the truth",https://i.pinimg.com/736x/eb/56/32/eb56322889987bede1cd3ce83f6c6eeb.jpg,4 months ago,86,12
3,11,and it is true for those who praise it,"the choices we reject, when blinded by the annoyances, will come to pass, not least those who fall into pleasures will be happy in him, or those who do not enjoy pleasures as well as those who fall into the nut of the mind's advantage",https://i.pinimg.com/736x/c7/cb/ce/c7cbce5944ecb5cbb2eedc4318c7e06f.jpg,1 year ago,1000,340
1,12,at some time hate is pain,"so that's either great for the present because it hates them and it is pleasure and the wise because they love nothing, blinded because that pleasure is the distinction between hatred",https://i.pinimg.com/736x/97/74/e8/9774e8c72198e20f2c082de6ab1f5114.jpg,1 year ago,760,500
2,13,pain as a tenderness and often pleasure in the mind,or may we be called the softness of the pleasure of the advantage with which the pain has been corrupted by rejecting the pleasure of the world,https://i.pinimg.com/736x/23/62/af/2362af8a2ce26a0fd335399448c54496.jpg,10 hours ago,10,30
4,14,pleasure of choosing option,"flight and accusing us of enduring pains is pleasure and pain, nor do we",https://i.pinimg.com/736x/d4/66/58/d46658ecdabac5e4b29a013d30486a92.jpg,1 year ago,48,7
